Nome,Preço,Categoria,Avaliação,Número de avaliações,Termômetro,Vendedor
Smartphone Samsung Galaxy A14 5g 128gb 4gb Preto,1.099,Celulares e Smartphones,4.8,205.0,5.0,Mercado Livre
 Moto E40 Dual SIM 64 GB grafite 4 GB RAM,769,Celulares e Smartphones,4.6,824.0,5.0,123 Comprou
Samsung Galaxy S20 FE 5G 5G Dual SIM 128 GB cloud white 6 GB RAM,1.869,Celulares e Smartphones,4.8,2281.0,5.0,Mercado Livre
Apple iPhone 11 (128 GB) - Branco,"3.988,10",Celulares e Smartphones,4.5,2573.0,5.0,NILTONDASILVALIPPERTJUNIOR
Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB twilight blue 6 GB RAM,"1.229,30",Celulares e Smartphones,4.7,4057.0,5.0,JEFERSON ELETROSTORE
 Moto G32 Dual SIM 128 GB preto 4 GB RAM,1.049,Celulares e Smartphones,4.9,78.0,5.0,Mercado Livre
Smartphone Samsung Galaxy A54 5g 128gb Memória Ram De 8gb 5g Preto,1.859,Celulares e Smartphones,4.8,12.0,5.0,Mercado Livre
Samsung Galaxy A23 5G 5G Dual SIM 128 GB awesome blue 4 GB RAM,1.279,Celulares e Smartphones,4.7,406.0,5.0,Mercado Livre
 Moto G42 Dual SIM 128 GB azul 4 GB RAM,1.089,Celulares e Smartphones,4.8,303.0,5.0,Mercado Livre
Samsung Galaxy A23 5G 5G Dual SIM 128 GB awesome white 4 GB RAM,1.279,Celulares e Smartphones,4.7,406.0,5.0,Mercado Livre
Motorola Edge Edge 30 Neo Dual SIM 256 GB black onyx 8 GB RAM,2.035,Celulares e Smartphones,4.6,105.0,5.0,Mercado Livre
Samsung Galaxy A23 Dual SIM 128 GB light blue 4 GB RAM,1.279,Celulares e Smartphones,4.8,1459.0,5.0,SHOP EV
Samsung Galaxy A04e Dual SIM 64 GB copper 3 GB RAM,769,Celulares e Smartphones,4.7,1915.0,5.0,Mercado Livre
Samsung Galaxy A03 Core Dual SIM 32 GB bronze 2 GB RAM,609,Celulares e Smartphones,4.6,7354.0,5.0,Mercado Livre
Smartphone Samsung Galaxy A54 5g 128gb Memória Ram De 8gb Octa-core Verde Lima,1.859,Celulares e Smartphones,4.8,12.0,5.0,Mercado Livre
 Moto E22 Dual SIM 64 GB preto 4 GB RAM,799,Celulares e Smartphones,4.7,1111.0,5.0,SP WEBFONES
Samsung Galaxy A23 5G 5G Dual SIM 128 GB awesome black 4 GB RAM,1.279,Celulares e Smartphones,4.7,406.0,5.0,Mercado Livre
Samsung Galaxy A04s 64 GB black 4 GB RAM,839,Celulares e Smartphones,4.5,11.0,5.0,Mercado Livre
Xiaomi Pocophone Poco M5 (5 Mpx) Dual SIM 128 GB black 6 GB RAM,"1.193,20",Celulares e Smartphones,4.8,305.0,5.0,BATERIAASSESORIOSJTK
 Moto G53 5G (eSIM) Dual SIM 128 GB grafite 4 GB RAM,1.419,Celulares e Smartphones,4.6,29.0,5.0,Mercado Livre
Samsung Galaxy A13 Dual SIM 128 GB preto 4 GB RAM,"1.124,80",Celulares e Smartphones,4.7,3949.0,5.0,BATERIAASSESORIOSJTK
Smartphone Motorola Moto G53 5g 128gb 4g Ram Rose,1.429,Celulares e Smartphones,4.8,70.0,5.0,Mercado Livre
Samsung Galaxy S21 FE 5G (Exynos) 5G Dual SIM 128 GB graphite 6 GB RAM,4.499,Celulares e Smartphones,4.7,644.0,5.0,Mercado Livre
 Moto G52 Dual SIM 128 GB charcoal grey 4 GB RAM,1.289,Celulares e Smartphones,4.7,3788.0,5.0,Girafa
Samsung Galaxy A23 128gb 4gb Ram Branco,2.099,Celulares e Smartphones,4.8,1459.0,5.0,SHOP EV
Philco Hit P8 Dual SIM 32 GB rose gold 3 GB RAM,449,Celulares e Smartphones,3.4,1500.0,5.0,123 Comprou
Samsung Galaxy A04s Dual SIM 64 GB black 4 GB RAM,875,Celulares e Smartphones,4.8,354.0,5.0,MEGAMAMUTE OFICIALES
 Moto G200 5G Dual SIM 256 GB verde 8 GB RAM,3.299,Celulares e Smartphones,4.6,158.0,5.0,123 Comprou
Samsung Galaxy A32 128 GB azul 4 GB RAM,1.399,Celulares e Smartphones,4.8,95.0,5.0,SHOP EV
 Moto G23 Dual SIM 128 GB branco 4 GB RAM,1.229,Celulares e Smartphones,4.9,57.0,5.0,Mercado Livre
Samsung Galaxy A23 Dual SIM 128 GB black 4 GB RAM,1.279,Celulares e Smartphones,4.8,1459.0,5.0,SHOP EV
Samsung Galaxy S23 Dual SIM 128 GB lavander 8 GB RAM,5.199,Celulares e Smartphones,4.9,130.0,5.0,Mercado Livre
Samsung Galaxy S22 Ultra 5G (Snapdragon) Dual SIM 256 GB phantom white 12 GB RAM,5.099,Celulares e Smartphones,5.0,58.0,5.0,Mercado Livre
Motorola Edge 30 Ultra Dual SIM 256 GB black 12 GB RAM,4.539,Celulares e Smartphones,4.6,12.0,5.0,Mercado Livre
